"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Ga0573226_01_1000697_1000903",788.700311996828,-4.13149282393348,2.05261698052718,-2.01279287033491,0.0441364242896136,0.1153136868907
"Ga0573226_01_1001642_1004932",5.0234509370732,-2.49241740468647,1.29308116027133,-1.92750268216999,0.0539170141185478,0.132741490254068
"Ga0573226_01_1005314_1005721",14.4745389908168,-2.99474384746972,1.64827379498799,-1.81689708140482,0.0692328736751514,0.160925801674026
"Ga0573226_01_1005819_1007243",23.8587597135831,-4.30591464109116,1.24717687529446,-3.45252924936932,0.000555357262936738,0.00409162769166635
"Ga0573226_01_1007363_1008247",38.1196099220809,-7.1883929942105,1.83596138486199,-3.91532907689715,9.02809844898169e-05,0.000967491675777237
"Ga0573226_01_1008281_1009810",71.7408038857593,-6.56283017041328,1.08400268503583,-6.05425637870663,1.41067787118113e-09,1.05822214245724e-07
"Ga0573226_01_100844_101983",2.07387704661249,-0.919016993793851,2.32416303865747,-0.395418470437732,0.692534079973927,0.796454408815543
"Ga0573226_01_1009810_1010370",66.9763422680046,-7.8357865408444,1.83294955668414,-4.27496027496773,1.91171377890027e-05,0.000271979739061357
"Ga0573226_01_1010689_1011048",11.9605594533971,-1.82332857029831,1.18567696727355,-1.53779538662291,0.124098651957806,0.244506504666035
"Ga0573226_01_1011337_1011564",4338.08569919536,3.02892245116379,0.870837971488547,3.47816993554653,0.00050484975696973,0.00380662914409818
"Ga0573226_01_1011585_1013780",1.28190891782417,-1.59278561284063,2.37009681640438,-0.672033986888774,0.501562059855636,NA
"Ga0573226_01_1014070_1014723",18.0440292612657,-2.98182742958358,2.09621973491256,-1.42247846440963,0.154887398990756,0.286779174421554
"Ga0573226_01_1015179_1015691",144.664351245563,-5.82245020655103,1.68691409404851,-3.45153924974178,0.000557398678416771,0.00410056590912546
"Ga0573226_01_1016101_1017060",1.23458286154671,-1.76756248154937,2.90703382934506,-0.60802955359745,0.543167873041228,NA
"Ga0573226_01_1017458_1017910",7.57064710687732,-1.96301728454372,2.03727295726212,-0.963551436515312,0.335270864376219,0.49638936887759
"Ga0573226_01_1018109_1018513",22.3653318971477,-2.72762060122521,1.72295360664954,-1.58310739807402,NA,NA
"Ga0573226_01_1018631_1018867",1973.15000692725,-6.03636510849793,1.21005543696407,-4.98850294300785,6.08489847457729e-07,1.6110338153814e-05
"Ga0573226_01_1019033_1020010",3.31877707423079,-0.636597476219941,1.47271723457313,-0.432260491882177,0.665552098209543,0.777010758573055
"Ga0573226_01_1020029_1020667",13.7558369188405,-0.319648857447685,1.7455045718332,-0.183126909322258,0.854698442199731,0.908196937035601
"Ga0573226_01_1020753_1021172",1.1809242698184,-0.194123629670673,3.57999287965277,-0.0542245854102092,0.956756233171705,NA
"Ga0573226_01_1021247_1022023",4.46677133846082,-1.72964494589865,1.8279023221118,-0.946245827786006,0.344023216699549,0.504474881561947
"Ga0573226_01_1022037_1023518",3.32943745854112,1.06939619093469,1.65714319240964,0.645325157073293,0.518716493228125,0.661668296298621
"Ga0573226_01_1023685_1025088",9.67940923476531,-5.63444098868931,1.40335611350395,-4.01497590987155,5.94518668805891e-05,0.000694212719164615
"Ga0573226_01_1025133_1025891",6.23045712920104,-0.921205486347305,1.46792121448435,-0.627557853417159,0.530293625795555,0.671479217727313
"Ga0573226_01_1025911_1027335",4.0354228845436,-4.08921728456361,2.03446924195114,-2.00996761231046,0.0444346168334763,0.115909266566144
"Ga0573226_01_1027382_1027996",5.85901770466522,-7.58484974048726,1.88268180616372,-4.02874756406271,5.60747904810189e-05,0.000662592572008411
"Ga0573226_01_102745_103266",1.48544474611417,-1.75809699910481,3.34003575652012,-0.526370711952055,0.598630660939046,NA
"Ga0573226_01_1028038_1029546",15.0988050758964,-5.84867166220956,1.81133116562287,-3.22893558793174,0.00124251876853999,0.00766090961773539
"Ga0573226_01_1029612_1032599",11.5559279606423,-5.14872607197396,1.43004131231852,-3.60040372793591,0.000317723455403915,0.00267071108269063
"Ga0573226_01_1032817_1033722",11.9249629992955,-5.97840295766271,1.82246686797243,-3.28039047662575,0.00103663504597701,0.00674425770385309
"Ga0573226_01_103340_103819",51.1764820962262,-7.62855335048266,1.77252389826467,-4.30378025252644,1.67908212229653e-05,0.000244503987867356
"Ga0573226_01_1033723_1034922",12.1581403084376,-5.63898711722069,1.8328907349599,-3.07655388816402,0.00209408447159855,0.0114182953952472
"Ga0573226_01_1034995_1035957",21.6062595285127,-6.0417494810469,1.44474869489204,-4.18186879310409,2.89122810188215e-05,0.000387926025268795
"Ga0573226_01_1036131_1037288",6.59031334412527,-2.84207275206344,2.19085586983371,-1.29724314191383,0.194547540954132,0.337138563270532
"Ga0573226_01_1037457_1037996",168.849600218466,3.58400741865621,1.07913662868113,3.3211803986641,0.000896375788014714,0.00599723854927142
"Ga0573226_01_1038185_1038967",377.901636330368,-6.41612570894524,1.49944898355471,-4.27898900150286,1.87744138770836e-05,0.000268647754640002
"Ga0573226_01_103830_104381",74.3996525494187,-8.50524050321707,1.6827548924566,-5.05435493983354,4.31847836092858e-07,1.25769331558573e-05
"Ga0573226_01_1039042_1039566",24.8993796717421,-2.63455468556577,1.76311226017882,-1.49426372050669,NA,NA
"Ga0573226_01_1040116_1040493",20.302751251593,1.28914575320647,1.97279899429072,0.653460264800042,0.513459598013077,0.658403797021768
"Ga0573226_01_1040611_1041504",9.17811401813454,-4.33236324485528,2.0253274666242,-2.13909272265805,0.0324281596763347,0.0919014416471282
"Ga0573226_01_1041608_1043497",11.9914824880242,0.124111677884216,1.1385387881424,0.109009617570177,0.913194862079612,0.945679407334778
"Ga0573226_01_1043507_1044028",117.900513129468,-5.96252865019046,1.58186123987111,-3.76931206094683,0.000163698116366095,0.00155262332208532
"Ga0573226_01_1044157_1044801",16.9649642042569,-4.19627854601879,2.09228330953375,-2.00559767737855,0.0448991899165689,0.11687481034539
"Ga0573226_01_104465_104689",428.739204913078,-9.15916273338112,2.00021787028402,-4.57908254368338,4.67019882359581e-06,8.85906297916584e-05
"Ga0573226_01_1044918_1045295",13.3646810463414,-1.65729109553798,1.83768497344686,-0.901836342727165,NA,NA
"Ga0573226_01_1045393_1046832",0.782525312146695,-2.25729381554866,3.57736634860263,-0.630993193199347,0.528044975097278,NA
"Ga0573226_01_1047067_1048260",0.975234051034601,1.61889735266799,3.46666579586104,0.466989738266908,0.640507219902762,NA
"Ga0573226_01_104763_105512",49.3122319825878,-3.5332596817953,0.976308809249863,-3.61899805504166,0.00029574586096257,0.00251155704567012
"Ga0573226_01_1048221_1049042",43.2208592554017,2.69428459521585,1.39617252202874,1.92976480535576,0.0536359861258779,0.132246896070329
"Ga0573226_01_1049124_1049921",4.91024395899595,0.344433434037598,1.57642788214771,0.218489813545004,0.827047494224,0.888802288670073
"Ga0573226_01_1050444_1050929",2.84169611638982,-1.13838088860708,2.13875943077535,-0.532262241478179,0.594544379855658,0.72288536951507
"Ga0573226_01_1051317_1052099",15.9380678576549,-4.68280834928973,1.50497305302884,-3.11155627661594,0.00186103998082927,0.0104371175660606
"Ga0573226_01_1052169_1053014",12.2653263085382,-2.92354708491574,1.14158468973734,-2.56095505764746,0.0104384858645488,0.0394812402714905
"Ga0573226_01_1053025_1054851",17.0728977906729,-4.92256546778415,1.49709084776881,-3.28808734294281,0.00100870539877227,0.00658852299382785
"Ga0573226_01_1054857_1055240",41.5179902060408,-2.37933966024943,1.85451759504086,-1.28299654131726,NA,NA
"Ga0573226_01_1055252_1055650",44.6473783646097,-4.30867559963546,1.69795246146357,-2.5375713969763,NA,NA
"Ga0573226_01_105567_105953",86.3427257215765,-9.61082482004709,1.57038895047403,-6.12002830072514,9.3558739420906e-10,7.47111804633719e-08
"Ga0573226_01_1056000_1056782",3.94802694047294,-0.109321886921274,1.59651694005132,-0.0684752439380695,0.945407326286389,0.965493331774734
"Ga0573226_01_1056825_1057757",3.36757330579872,-1.12783114612254,1.4188280953771,-0.794903307734955,0.426669750011337,0.582066423585338
"Ga0573226_01_1057768_1058475",1.93521235999186,-2.12600293496326,2.75708831302837,-0.771104402030587,0.440645051593571,0.594126811121942
"Ga0573226_01_1058543_1059253",15.2361296932188,-2.34910686854465,1.111649247172,-2.11317272468875,0.034585986910279,0.0960915943842825
"Ga0573226_01_1059678_1060424",14.5348547088192,-0.984409912736405,1.08592723033144,-0.906515542883987,0.364663041900619,0.523908394563796
"Ga0573226_01_1060670_1061278",14.8776693125749,-1.37200738617175,1.66469157356816,-0.824181132382944,0.409836645969063,0.566361801264108
"Ga0573226_01_1061478_1061798",54.9380348007608,-10.8254021071711,1.71341749599331,-6.31801772334264,2.64939636203123e-10,2.52253103623396e-08
"Ga0573226_01_106176_109634",2.55226807395176,-5.64465677244671,1.9106248447388,-2.95435118411139,0.0031332722802303,0.0153744609112192
"Ga0573226_01_1061888_1063819",4.42401493156976,-2.89546038075504,1.34270129577342,-2.15644416957772,0.0310489988479789,0.0888780223576434
"Ga0573226_01_1063903_1064301",5.04489768138552,-3.89574637553158,2.49320664273454,-1.56254451947823,0.118159766610762,0.235321401645166
"Ga0573226_01_1065059_1065691",1.92725208169241,-4.29482816634905,2.40327875503617,-1.78707033353874,0.0739261216194951,0.168434527445062
"Ga0573226_01_1065830_1066249",5.07916926121734,-3.39800086065358,2.16133805876954,-1.57217462898335,0.115910057653802,0.232430415327652
"Ga0573226_01_1066647_1067597",5.0249847527932,-6.14078683768988,1.77943570319742,-3.45097427608969,0.00055856680501483,0.004103062687876
"Ga0573226_01_1067597_1068175",6.16367716448033,-5.00614575511258,1.86556852377074,-2.68344244198226,0.0072868517153344,0.0298652341412422
"Ga0573226_01_1068489_1069703",1.93913038732648,-0.933011248378545,2.23366378902651,-0.417704424883556,0.676163236707957,0.783454323590165
"Ga0573226_01_1069793_1071058",7.59255254273674,-0.476125184589476,1.10576695352046,-0.430583662383493,0.666771122595182,0.777256148976032
"Ga0573226_01_1071091_1072722",4.5370362546846,-0.567188992499689,1.33352459256933,-0.42533073305148,0.670595592671972,0.780169465694701
"Ga0573226_01_1072733_1073917",4.1598981714494,-0.850306643799022,1.36766962386405,-0.621719331161768,0.534126438119845,0.674435091846812
"Ga0573226_01_1073921_1075045",3.11286487856444,-3.1809167092363,1.75007541512053,-1.81758836319475,0.0691270715423354,0.160807251728886
"Ga0573226_01_1075112_1076998",5.63780850618416,-3.35905115195378,1.60766695115784,-2.0893949144968,0.0366721886388893,0.100090411218931
"Ga0573226_01_1076995_1078875",4.74149807928741,-3.96883067982038,1.5964739006962,-2.48599784693607,0.0129188747203436,0.046181479234961
"Ga0573226_01_1078986_1080419",11.0797021980572,-4.97246467498849,1.46524898999182,-3.39359706708704,0.000689811069408905,0.00484433277254395
"Ga0573226_01_1080563_1081114",80.3149038476598,-6.62743807846138,2.03482037764484,-3.25701381373631,0.0011259095354637,0.00712571537388391
"Ga0573226_01_1081313_1082047",5.33585523197038,-1.23190470036458,1.82443694727738,-0.675224595841999,0.499533082302874,0.648620060446245
"Ga0573226_01_1082076_1082984",5.94085903529786,-4.80925863159158,1.89569058682253,-2.53694282443668,0.0111825215888283,0.0415962918003673
"Ga0573226_01_1083022_1084023",9.78136856252464,-5.83349246455464,1.79815065985429,-3.24416223556447,0.00117796631953175,0.00735449085498322
"Ga0573226_01_1084512_1085144",6.92886092107636,0.0814125917030063,1.27108090227536,0.0640498897885016,0.948930502020702,0.967979006654231
"Ga0573226_01_1085513_1086361",11.0742197404172,-0.943201404046436,1.13487414961096,-0.831106607168529,0.405913407546037,0.562719904756345
"Ga0573226_01_1086433_1087260",7.60291153087353,-2.21116001367136,1.61013895677703,-1.37327278764646,0.169667558997456,0.305574421461043
"Ga0573226_01_1087565_1088185",12.3057318646107,-4.87478970644876,1.94555497533868,-2.50560368030729,0.012224255306709,0.0444689845874475
"Ga0573226_01_1088218_1089027",12.5573197100619,-4.98719042249064,1.87300869142896,-2.66266272298277,0.00775250758845435,0.031256241914037
"Ga0573226_01_1089452_1092205",5.83994478949519,-1.50575792040971,1.25901054780665,-1.19598515122286,0.231702353673962,0.382513622220669
"Ga0573226_01_1092264_1094399",73.8842781292714,-4.98104566354905,0.827367248048809,-6.02035634755414,1.7403350027979e-09,1.23091408555034e-07
"Ga0573226_01_1094729_1094998",323.637016415852,-9.75444416780244,1.8281749928984,-5.33561842038857,9.52194596116949e-08,3.55788145251005e-06
