time,Replicates,Counts,Treatment,Type ,Treatment2
0,A,11250,b12,monoculture,b12
0,B,10000,b12,monoculture,b12
0,C,8750,b12,monoculture,b12
0,D,6250,no_b12,monoculture,no_b12
0,E,15000,no_b12,monoculture,no_b12
0,F,6250,no_b12,monoculture,no_b12
0,G,6250,low_density,coculture,bacteria
0,H,5000,low_density,coculture,bacteria
0,I,10000,low_density,coculture,bacteria
0,J,11250,mid_density,coculture,bacteria
0,K,7500,mid_density,coculture,bacteria
0,L,8750,mid_density,coculture,bacteria
0,M,11250,high_density,coculture,bacteria
0,N,7500,high_density,coculture,bacteria
0,O,6250,high_density,coculture,bacteria
1,A,12500,b12,monoculture,b12
1,B,8750,b12,monoculture,b12
1,C,5000,b12,monoculture,b12
1,D,10000,no_b12,monoculture,no_b12
1,E,7500,no_b12,monoculture,no_b12
1,F,6250,no_b12,monoculture,no_b12
1,G,7500,low_density,coculture,bacteria
1,H,12500,low_density,coculture,bacteria
1,I,5000,low_density,coculture,bacteria
1,J,11250,mid_density,coculture,bacteria
1,K,7500,mid_density,coculture,bacteria
1,L,10000,mid_density,coculture,bacteria
1,M,7500,high_density,coculture,bacteria
1,N,7500,high_density,coculture,bacteria
1,O,11250,high_density,coculture,bacteria
2,A,20000,b12,monoculture,b12
2,B,10000,b12,monoculture,b12
2,C,17500,b12,monoculture,b12
2,D,13750,no_b12,monoculture,no_b12
2,E,22500,no_b12,monoculture,no_b12
2,F,10000,no_b12,monoculture,no_b12
2,G,17500,low_density,coculture,bacteria
2,H,12500,low_density,coculture,bacteria
2,I,12500,low_density,coculture,bacteria
2,J,17500,mid_density,coculture,bacteria
2,K,11250,mid_density,coculture,bacteria
2,L,15000,mid_density,coculture,bacteria
2,M,13750,high_density,coculture,bacteria
2,N,10000,high_density,coculture,bacteria
2,O,21250,high_density,coculture,bacteria
3,A,47500,b12,monoculture,b12
3,B,31250,b12,monoculture,b12
3,C,36250,b12,monoculture,b12
3,D,32500,no_b12,monoculture,no_b12
3,E,32500,no_b12,monoculture,no_b12
3,F,38750,no_b12,monoculture,no_b12
3,G,22500,low_density,coculture,bacteria
3,H,33750,low_density,coculture,bacteria
3,I,21250,low_density,coculture,bacteria
3,J,21250,mid_density,coculture,bacteria
3,K,27500,mid_density,coculture,bacteria
3,L,25000,mid_density,coculture,bacteria
3,M,28750,high_density,coculture,bacteria
3,N,18750,high_density,coculture,bacteria
3,O,18750,high_density,coculture,bacteria
4,A,37500,b12,monoculture,b12
4,B,32500,b12,monoculture,b12
4,C,40000,b12,monoculture,b12
4,D,35000,no_b12,monoculture,no_b12
4,E,37500,no_b12,monoculture,no_b12
4,F,28750,no_b12,monoculture,no_b12
4,G,36250,low_density,coculture,bacteria
4,H,47500,low_density,coculture,bacteria
4,I,37500,low_density,coculture,bacteria
4,J,47500,mid_density,coculture,bacteria
4,K,37500,mid_density,coculture,bacteria
4,L,36250,mid_density,coculture,bacteria
4,M,71250,high_density,coculture,bacteria
4,N,41250,high_density,coculture,bacteria
4,O,46250,high_density,coculture,bacteria
5,A,67500,b12,monoculture,b12
5,B,52500,b12,monoculture,b12
5,C,65000,b12,monoculture,b12
5,D,66250,no_b12,monoculture,no_b12
5,E,53750,no_b12,monoculture,no_b12
5,F,62500,no_b12,monoculture,no_b12
5,G,57500,low_density,coculture,bacteria
5,H,52500,low_density,coculture,bacteria
5,I,53750,low_density,coculture,bacteria
5,J,78750,mid_density,coculture,bacteria
5,K,50000,mid_density,coculture,bacteria
5,L,50000,mid_density,coculture,bacteria
5,M,66250,high_density,coculture,bacteria
5,N,61250,high_density,coculture,bacteria
5,O,66250,high_density,coculture,bacteria
6,A,86250,b12,monoculture,b12
6,B,72500,b12,monoculture,b12
6,C,51250,b12,monoculture,b12
6,D,63750,no_b12,monoculture,no_b12
6,E,57500,no_b12,monoculture,no_b12
6,F,53750,no_b12,monoculture,no_b12
6,G,77500,low_density,coculture,bacteria
6,H,96250,low_density,coculture,bacteria
6,I,80000,low_density,coculture,bacteria
6,J,66250,mid_density,coculture,bacteria
6,K,75000,mid_density,coculture,bacteria
6,L,61250,mid_density,coculture,bacteria
6,M,85000,high_density,coculture,bacteria
6,N,66250,high_density,coculture,bacteria
6,O,78750,high_density,coculture,bacteria
7,A,117500,b12,monoculture,b12
7,B,96250,b12,monoculture,b12
7,C,83750,b12,monoculture,b12
7,D,83750,no_b12,monoculture,no_b12
7,E,70000,no_b12,monoculture,no_b12
7,F,62500,no_b12,monoculture,no_b12
7,G,122500,low_density,coculture,bacteria
7,H,88750,low_density,coculture,bacteria
7,I,97500,low_density,coculture,bacteria
7,J,93750,mid_density,coculture,bacteria
7,K,98750,mid_density,coculture,bacteria
7,L,87500,mid_density,coculture,bacteria
7,M,128750,high_density,coculture,bacteria
7,N,106250,high_density,coculture,bacteria
7,O,120000,high_density,coculture,bacteria
12,A,250000,b12,monoculture,b12
12,B,222500,b12,monoculture,b12
12,C,217500,b12,monoculture,b12
12,D,181250,no_b12,monoculture,no_b12
12,E,147500,no_b12,monoculture,no_b12
12,F,151250,no_b12,monoculture,no_b12
12,G,265000,low_density,coculture,bacteria
12,H,241250,low_density,coculture,bacteria
12,I,286250,low_density,coculture,bacteria
12,J,287500,mid_density,coculture,bacteria
12,K,325000,mid_density,coculture,bacteria
12,L,285000,mid_density,coculture,bacteria
12,M,275000,high_density,coculture,bacteria
12,N,331250,high_density,coculture,bacteria
12,O,275000,high_density,coculture,bacteria
