"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Ga0573226_01_1000697_1000903",788.700311996828,-10.3326962118142,3.56303583456471,-2.89996977060336,0.00373198649947016,0.0478572386402644
"Ga0573226_01_1001642_1004932",5.0234509370732,-2.8989950762911,2.98854561657843,-0.97003541127478,0.332028841492435,NA
"Ga0573226_01_1005314_1005721",14.4745389908168,-4.47102021352353,3.3228405269683,-1.34554161634799,0.178450391330719,NA
"Ga0573226_01_1005819_1007243",23.8587597135831,-5.32184887000762,2.88282551081405,-1.84605306496849,0.0648845008232401,NA
"Ga0573226_01_1007363_1008247",38.1196099220809,-3.58290149591902,2.74546071593819,-1.30502741311112,0.191883513451762,NA
"Ga0573226_01_1008281_1009810",71.7408038857593,-6.96743743327232,2.73203500408484,-2.5502738518558,0.0107638331972683,0.0704903457143275
"Ga0573226_01_100844_101983",2.07387704661249,-1.19217787371815,4.28175709292934,-0.278431925922853,0.780680814704164,NA
"Ga0573226_01_1009810_1010370",66.9763422680046,-6.87737068270108,3.49334968683415,-1.96870376550642,0.0489871186538299,0.101384732910142
"Ga0573226_01_1010689_1011048",11.9605594533971,-3.99554173259123,2.86279121384359,-1.39568045104722,0.162810743724118,NA
"Ga0573226_01_1011337_1011564",4338.08569919536,4.06092566173427,1.51635950936025,2.67807577073037,0.0074046465586009,0.0645685179909998
"Ga0573226_01_1011585_1013780",1.28190891782417,-0.769664605754933,4.48215634085861,-0.171717483109367,0.863659640445309,NA
"Ga0573226_01_1014070_1014723",18.0440292612657,-0.679066217989392,2.75659732619937,-0.246342188442027,0.805417354294576,NA
"Ga0573226_01_1015179_1015691",144.664351245563,-7.95952694765028,3.32549391630457,-2.39348714746568,0.016689066028803,0.0759739144263484
"Ga0573226_01_1016101_1017060",1.23458286154671,-0.772149233099513,5.23225546192257,-0.14757483435562,0.882678316882427,NA
"Ga0573226_01_1017458_1017910",7.57064710687732,-3.36684819745212,3.80472815347519,-0.884911631433349,0.376204294178272,NA
"Ga0573226_01_1018109_1018513",22.3653318971477,-5.05173975119525,3.37950408406199,-1.49481688009186,0.1349622396836,NA
