,name1,name2,time,pval,adjust
1,mean in group b12,mean in group bacteria,0,0.128961395,1
2,mean in group bacteria,mean in group no_b12,0,0.774210586,1
3,mean in group b12,mean in group no_b12,0,0.805008088,1
4,mean in group b12,mean in group bacteria,1,0.956460492,1
5,mean in group bacteria,mean in group no_b12,1,0.514090295,1
6,mean in group b12,mean in group no_b12,1,0.754428341,1
7,mean in group b12,mean in group bacteria,2,0.72785786,1
8,mean in group bacteria,mean in group no_b12,2,0.847102666,1
9,mean in group b12,mean in group no_b12,2,0.934745491,1
10,mean in group b12,mean in group bacteria,3,0.084258898,1
11,mean in group bacteria,mean in group no_b12,3,0.011839161,0.319657347
12,mean in group b12,mean in group no_b12,3,0.530406708,1
13,mean in group b12,mean in group bacteria,4,0.096163406,1
14,mean in group bacteria,mean in group no_b12,4,0.039935721,1
15,mean in group b12,mean in group no_b12,4,0.441859456,1
16,mean in group b12,mean in group bacteria,5,0.729608156,1
17,mean in group bacteria,mean in group no_b12,5,0.807659554,1
18,mean in group b12,mean in group no_b12,5,0.895466863,1
19,mean in group b12,mean in group bacteria,6,0.610228707,1
20,mean in group bacteria,mean in group no_b12,6,0.004664278,0.125935506
21,mean in group b12,mean in group no_b12,6,0.371449168,1
22,mean in group b12,mean in group bacteria,7,0.64166686,1
23,mean in group bacteria,mean in group no_b12,7,0.009466203,0.255587481
24,mean in group b12,mean in group no_b12,7,0.092890239,1
25,mean in group b12,mean in group bacteria,12,0.007200937,0.194425299
26,mean in group bacteria,mean in group no_b12,12,0.000198928,0.005371056
27,mean in group b12,mean in group no_b12,12,0.008964316,0.242036532
