Gene	bac_3-1_quant.sf	bac_3-2_quant.sf	bac_3-3_quant.sf	bac_4-1_quant.sf	bac_4-2_quant.sf	bac_4-3_quant.sf	bac_5_pool_quant.sf	bac_highnut1_quant.sf	bac_highnut2_quant.sf	bac_highnut3_quant.sf	starved_pool_quant.sf
Ga0573226_01_1000697_1000903	0.000000	0.000000	0.000000	6.990488	10.591679	0.000000	0.000000	626.223485	2183.806006	0.000000	1744.106867
Ga0573226_01_1001642_1004932	1.058686	0.034253	0.000000	0.000000	0.323138	1.329791	0.148425	22.121855	12.273025	6.006953	42.262775
Ga0573226_01_1005314_1005721	2.716847	0.000000	0.000000	2.592493	0.000000	0.000000	0.000000	52.782112	0.000000	38.538279	0.000000
Ga0573226_01_1005819_1007243	1.522205	0.443248	0.000000	0.000000	0.000000	0.050612	0.000000	6.624342	9.075324	41.457349	32.286767
Ga0573226_01_1007363_1008247	1.239339	0.328074	0.000000	0.000000	0.244342	0.655564	0.710805	6.128821	0.000000	0.000000	23.165742
Ga0573226_01_1008281_1009810	1.173763	0.488266	0.000000	0.000000	0.323244	0.836284	0.000000	13.464937	20.827159	4.757069	38.711175
Ga0573226_01_100844_101983	3.215444	0.000000	0.000000	0.536947	0.000000	0.133638	0.000000	12.493744	0.000000	20.524882	0.000000
Ga0573226_01_1009810_1010370	5.291008	1.674652	0.000000	1.317087	0.000000	0.000000	0.000000	14.301520	0.000000	0.000000	0.000000
Ga0573226_01_1010689_1011048	3.251966	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	40.434087	48.470227	55.354696	0.000000
Ga0573226_01_1011337_1011564	1713.682775	1146.151020	530.203810	1292.865684	1271.095126	3120.555257	1970.836385	34136.465528	29133.036471	31904.863810	118077.501035
Ga0573226_01_1011585_1013780	0.514702	0.000000	0.000000	0.000000	0.026577	0.000000	0.000000	3.999796	0.000000	9.387022	0.000000
Ga0573226_01_1014070_1014723	3.839011	0.000000	0.000000	0.000000	0.000000	1.472006	3.165488	11.009338	0.000000	0.000000	74.739396
Ga0573226_01_1015179_1015691	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	65.132274	0.000000	81.045269	35.440683
Ga0573226_01_1016101_1017060	0.503828	0.440127	0.000000	0.000000	0.000000	0.000000	0.000000	13.311996	0.000000	0.000000	27.261391
Ga0573226_01_1017458_1017910	3.171885	0.000000	0.000000	1.008901	0.000000	0.000000	0.000000	41.081644	52.529583	0.000000	0.000000
