,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
TRINITY_DN20555_c0_g2_i1,255.7101184,1.233290361,0.115169182,10.70851017,9.28439E-27,9.40694E-23
TRINITY_DN49126_c0_g1_i1,150.2977556,1.148280544,0.147193228,7.801177833,6.1332E-15,3.10708E-11
TRINITY_DN5498_c0_g1_i1,95.44516886,1.098302485,0.164873239,6.661496397,2.71053E-11,9.15438E-08
TRINITY_DN29157_c0_g1_i1,81.87038163,0.919432216,0.152067429,6.046213996,1.48289E-09,3.00493E-06
TRINITY_DN61930_c0_g1_i1,5535.108086,0.856185924,0.140816467,6.080154866,1.20067E-09,3.00493E-06
TRINITY_DN21603_c1_g1_i1,309.792033,0.452252227,0.078499689,5.761197695,8.35191E-09,1.41036E-05
TRINITY_DN14853_c0_g2_i1,210.1161365,0.464871362,0.083893154,5.541231185,3.00352E-08,4.34739E-05
TRINITY_DN13116_c0_g1_i1,1202.916515,-0.410243523,0.07481534,-5.483414548,4.17194E-08,5.28376E-05
TRINITY_DN11694_c0_g2_i1,95.34192309,0.864150494,0.170896044,5.056585698,4.26829E-07,0.000456681
TRINITY_DN54265_c0_g1_i1,68.88335459,-0.866010654,0.171617088,-5.046179648,4.50732E-07,0.000456681
TRINITY_DN25138_c0_g1_i1,113.8083782,0.943756872,0.191204273,4.935856594,7.97997E-07,0.000735028
TRINITY_DN38416_c0_g1_i1,30.74497308,1.292090272,0.267167349,4.836258154,1.32306E-06,0.001117104
TRINITY_DN14245_c0_g1_i1,71.83249832,-0.586564191,0.122268914,-4.797328862,1.60795E-06,0.001149079
TRINITY_DN30644_c0_g1_i1,60.7163239,1.19442391,0.249564879,4.786025639,1.70116E-06,0.001149079
TRINITY_DN53016_c0_g1_i1,258.5853403,-0.346060146,0.072020515,-4.805021807,1.54735E-06,0.001149079
TRINITY_DN35735_c0_g1_i1,33.78287303,0.881752027,0.184944105,4.767667663,1.86371E-06,0.001180194
TRINITY_DN35008_c0_g1_i1,211.7653831,0.552635349,0.118120503,4.678572602,2.88879E-06,0.001721718
TRINITY_DN61707_c0_g1_i1,19.60190012,1.471101575,0.317966613,4.626591326,3.72E-06,0.002092444
TRINITY_DN58007_c0_g1_i1,39.48818982,-0.952364545,0.209280658,-4.550657255,5.35E-06,0.002851817
TRINITY_DN67739_c0_g1_i1,292.2112672,0.44255827,0.097652762,4.531958568,5.84E-06,0.002960536
TRINITY_DN19594_c0_g1_i1,226.7562027,0.339248316,0.075337645,4.503038516,6.70E-06,0.003232047
TRINITY_DN41357_c0_g1_i1,38.64779079,1.057876285,0.235968595,4.483123202,7.36E-06,0.0033877
TRINITY_DN43958_c0_g1_i1,160.7616032,1.069299229,0.240376072,4.448442886,8.65E-06,0.003810295
TRINITY_DN52250_c0_g1_i1,180.9835787,0.348197478,0.078877015,4.414435288,1.01E-05,0.004275451
TRINITY_DN28866_c0_g1_i1,25.84073836,-1.331915175,0.302329883,-4.405502889,1.06E-05,0.004277274
TRINITY_DN24152_c0_g1_i1,67.17994535,-0.733140442,0.168213717,-4.358386782,1.31E-05,0.005105931
TRINITY_DN42069_c0_g1_i1,45.19321835,0.835449574,0.192107382,4.348867632,1.37E-05,0.005135133
TRINITY_DN52727_c0_g1_i1,18.44327819,1.100213397,0.255860167,4.300057376,1.71E-05,0.006178852
TRINITY_DN5043_c0_g2_i1,22.68375829,-1.168246067,0.272214558,-4.291636999,1.77E-05,0.006196617
TRINITY_DN65719_c0_g1_i1,34.20974557,-0.904597157,0.211178126,-4.283574121,1.84E-05,0.006211416
TRINITY_DN18579_c0_g1_i1,96.67999686,0.964543619,0.226868006,4.251562995,2.12E-05,0.006938256
TRINITY_DN28612_c0_g1_i1,121.1425125,0.504261104,0.11933522,4.22558491,2.38E-05,0.007545837
TRINITY_DN23040_c0_g1_i1,98.56397733,0.654177822,0.155538729,4.205883814,2.60E-05,0.007984747
TRINITY_DN7032_c0_g1_i1,23.00637516,-1.054039114,0.25447126,-4.142075282,3.44E-05,0.010256484
TRINITY_DN32206_c0_g1_i1,204.4837346,0.325937854,0.078845353,4.13388796,3.57E-05,0.010275487
TRINITY_DN33269_c0_g1_i1,440.9254725,-0.213717126,0.051785734,-4.126949816,3.68E-05,0.010275487
TRINITY_DN7452_c0_g2_i1,52.3776766,-0.793033972,0.192380349,-4.122219218,3.75E-05,0.010275487
TRINITY_DN21788_c5_g8_i1,540.4990532,-0.27628471,0.067378931,-4.100461478,4.12E-05,0.010993942
TRINITY_DN59506_c0_g1_i1,43.67914318,1.041450891,0.255176658,4.08129372,4.48E-05,0.011635099
TRINITY_DN58465_c0_g1_i1,35.66032274,-0.915858529,0.226339869,-4.046386231,5.20E-05,0.012977183
TRINITY_DN9310_c0_g1_i1,75.80407344,-0.707424925,0.174925488,-4.044150079,5.25E-05,0.012977183
TRINITY_DN6312_c0_g1_i1,32.50448496,1.297577315,0.321635075,4.034315337,5.48E-05,0.013210617
TRINITY_DN40942_c0_g1_i1,62.12503429,-0.724282114,0.180207833,-4.019148903,5.84E-05,0.013625044
TRINITY_DN8145_c1_g1_i1,153.276903,0.804049258,0.200206484,4.016099989,5.92E-05,0.013625044
TRINITY_DN10654_c0_g1_i1,46.47760166,-0.60183756,0.150177993,-4.007495035,6.14E-05,0.01381693
TRINITY_DN30344_c0_g1_i1,78.84667412,-0.543654289,0.136146903,-3.993144723,6.52E-05,0.014361613
TRINITY_DN52780_c0_g1_i1,139.8109405,0.418384316,0.104966389,3.985888449,6.72E-05,0.01449266
TRINITY_DN12684_c0_g1_i2,599.7198725,-0.207567351,0.052662351,-3.941475192,8.10E-05,0.015651867
TRINITY_DN15226_c0_g2_i1,39.50834942,-0.761285409,0.192644861,-3.9517556,7.76E-05,0.015651867
TRINITY_DN43910_c0_g1_i1,57.84268082,0.733486502,0.185898601,3.945626802,7.96E-05,0.015651867
