TRINITY_DN5823_c0_g1_i1	predicted protein
TRINITY_DN46780_c0_g1_i1	hypothetical protein AK812_SmicGene38089
TRINITY_DN12543_c0_g1_i1	"Cell wall alpha-1
TRINITY_DN31420_c0_g1_i1	4-hydroxyacetophenone monooxygenase
TRINITY_DN35189_c0_g1_i1	N6-adenosine-methyltransferase subunit METTL14
TRINITY_DN34703_c0_g1_i1	Ribosomal RNA large subunit methyltransferase J
TRINITY_DN47171_c0_g1_i1	hypothetical protein AK812_SmicGene63
TRINITY_DN48462_c0_g1_i1	hypothetical protein AK812_SmicGene26111
TRINITY_DN66188_c0_g1_i1	---NA---
TRINITY_DN18421_c0_g3_i2	WD40 repeat-like protein
TRINITY_DN26755_c0_g1_i1	hypothetical protein AK812_SmicGene32619
TRINITY_DN20752_c1_g1_i2	---NA---
TRINITY_DN54284_c0_g1_i1	hypothetical protein AK812_SmicGene24544
TRINITY_DN40355_c0_g1_i1	"hypothetical protein AK812_SmicGene42999
TRINITY_DN44682_c0_g1_i1	---NA---
TRINITY_DN44111_c0_g1_i1	---NA---
TRINITY_DN33880_c0_g1_i1	---NA---
TRINITY_DN13383_c0_g2_i2	Glucosidase 2 subunit beta
TRINITY_DN69007_c0_g1_i1	---NA---
TRINITY_DN16561_c0_g1_i3	Dihydropteridine reductase
TRINITY_DN4817_c0_g1_i1	hypothetical protein AK812_SmicGene33752
TRINITY_DN21357_c1_g2_i5	"mTERF domain-containing protein 1
TRINITY_DN20905_c3_g2_i3	probable fumerate reductase
TRINITY_DN48035_c0_g1_i1	E3 ubiquitin-protein ligase TRIM33
TRINITY_DN27027_c0_g1_i1	hypothetical protein AK812_SmicGene25622
TRINITY_DN65705_c0_g1_i1	hypothetical protein AK812_SmicGene17350
TRINITY_DN18328_c0_g2_i2	alanine racemase
TRINITY_DN46705_c0_g1_i1	Ribonuclease Oy
TRINITY_DN34367_c0_g1_i1	hypothetical protein AK812_SmicGene38317
TRINITY_DN59868_c0_g1_i1	---NA---
TRINITY_DN31614_c0_g1_i1	Polycystin-2
TRINITY_DN24097_c0_g1_i1	Ribosomal RNA large subunit methyltransferase J
TRINITY_DN15943_c0_g1_i1	hypothetical protein AK812_SmicGene26246
TRINITY_DN50849_c0_g1_i1	---NA---
TRINITY_DN40040_c0_g1_i1	---NA---
TRINITY_DN64466_c0_g1_i1	Crt-like 1
TRINITY_DN21030_c0_g1_i2	---NA---
TRINITY_DN10797_c0_g2_i1	alpha/beta hydrolase
TRINITY_DN8587_c0_g1_i1	"Pentatricopeptide repeat-containing protein
TRINITY_DN64852_c0_g1_i1	hypothetical protein AK812_SmicGene30660
TRINITY_DN824_c0_g1_i1	Valacyclovir hydrolase
TRINITY_DN17748_c0_g2_i1	predicted protein
