gene_ID	GOs				
Ga0573226_01_1_1464					
Ga0573226_01_1868_2299					
Ga0573226_01_2469_4274					
Ga0573226_01_4288_5166					
Ga0573226_01_5311_6069					
Ga0573226_01_6186_6698					
Ga0573226_01_6758_7189					
Ga0573226_01_7285_7737					
Ga0573226_01_7929_8201					
Ga0573226_01_8287_8925					
Ga0573226_01_9135_9788					
Ga0573226_01_17371_18450					
Ga0573226_01_18501_20456					
Ga0573226_01_20479_21189					
Ga0573226_01_21264_22871					
Ga0573226_01_23094_23444					
Ga0573226_01_23477_24577					
Ga0573226_01_24574_25596					
Ga0573226_01_25593_26075					
Ga0573226_01_26078_27007					
Ga0573226_01_27017_28372					
Ga0573226_01_28369_29454					
Ga0573226_01_29661_30800					
Ga0573226_01_30853_31638					
Ga0573226_01_31638_32504					
Ga0573226_01_32612_33580					
Ga0573226_01_33713_34780					
Ga0573226_01_34788_36290					
Ga0573226_01_36310_36993					
Ga0573226_01_37026_38288					
Ga0573226_01_38469_39698					
Ga0573226_01_39890_41221					
Ga0573226_01_41406_42296					
Ga0573226_01_42322_42984					
Ga0573226_01_43038_43544					
Ga0573226_01_43562_44545					
Ga0573226_01_44757_46004					
Ga0573226_01_46027_46530	GO:0005575;GO:0005623;GO:0005886;GO:0016020;GO:0044464;GO:0071944				
Ga0573226_01_46633_48150					
Ga0573226_01_48154_49410					
Ga0573226_01_49410_50726					
Ga0573226_01_50726_51274					
Ga0573226_01_51342_52331					
Ga0573226_01_52465_53121					
Ga0573226_01_53899_54417					
Ga0573226_01_54439_55251					
Ga0573226_01_55248_56027					
Ga0573226_01_56024_57082	GO:0005575;GO:0005623;GO:0005886;GO:0016020;GO:0044464;GO:0071944				
Ga0573226_01_57156_58307					
Ga0573226_01_58431_59459					
Ga0573226_01_59737_60330					
Ga0573226_01_61104_61967					
Ga0573226_01_61979_63580					
Ga0573226_01_63680_64762					
Ga0573226_01_65139_66374					
Ga0573226_01_66458_68545					
Ga0573226_01_68767_70347					
Ga0573226_01_70370_71590					
Ga0573226_01_71672_73612					
Ga0573226_01_73627_74181					
Ga0573226_01_74338_75306					
Ga0573226_01_75838_77229					
Ga0573226_01_77279_77464					
Ga0573226_01_77511_78368					
Ga0573226_01_78560_79165					
Ga0573226_01_79314_79916					
Ga0573226_01_80193_81092					
Ga0573226_01_81500_83176	GO:0003674;GO:0003824;GO:0004174;GO:0005488;GO:0005575;GO:0005622;GO:0005623;GO:0005737;GO:0005739;GO:0005740;GO:0005743;GO:0005759;GO:0006091;GO:0008150;GO:0008152;GO:0009055;GO:0009987;GO:0015980;GO:0016020;GO:0016021;GO:0016491;GO:0016645;GO:0016649;GO:0016722;GO:0017133;GO:0019866;GO:0022900;GO:0022904;GO:0031090;GO:0031224;GO:0031300;GO:0031301;GO:0031304;GO:0031305;GO:0031966;GO:0031967;GO:0031974;GO:0031975;GO:0032592;GO:0032991;GO:0043226;GO:0043227;GO:0043229;GO:0043231;GO:0043233;GO:0043783;GO:0044237;GO:0044422;GO:0044424;GO:0044425;GO:0044429;GO:0044444;GO:0044446;GO:0044455;GO:0044464;GO:0045251;GO:0045333;GO:0048037;GO:0048038;GO:0048039;GO:0051536;GO:0051539;GO:0051540;GO:0055114;GO:0070013;GO:0098573;GO:0098798;GO:1902494;GO:1990204				
Ga0573226_01_84208_85362					
Ga0573226_01_85657_86535					
Ga0573226_01_87049_88836					
Ga0573226_01_89922_91238					
Ga0573226_01_91578_92699	GO:0003674;GO:0003824;GO:0005488;GO:0005509;GO:0005575;GO:0005623;GO:0008150;GO:0008152;GO:0016491;GO:0016614;GO:0016901;GO:0019842;GO:0030288;GO:0030313;GO:0031406;GO:0031975;GO:0036094;GO:0042597;GO:0043167;GO:0043168;GO:0043169;GO:0043177;GO:0044464;GO:0046872;GO:0048037;GO:0048038;GO:0055114;GO:0070968;GO:0097159;GO:1901363				
Ga0573226_01_92783_93109					
Ga0573226_01_93189_95483	GO:0003674;GO:0003824;GO:0004470;GO:0004473;GO:0005488;GO:0008150;GO:0008152;GO:0016491;GO:0016614;GO:0016615;GO:0016616;GO:0030145;GO:0043167;GO:0043169;GO:0046872;GO:0046914;GO:0055114				
Ga0573226_01_95585_96229					
Ga0573226_01_96269_97495					
Ga0573226_01_97683_98240	GO:0003674;GO:0005488;GO:0005515;GO:0005575;GO:0005622;GO:0005623;GO:0005737;GO:0005829;GO:0042802;GO:0044424;GO:0044444;GO:0044464				
Ga0573226_01_98246_98746					
Ga0573226_01_98757_99452					
Ga0573226_01_99926_100726					
Ga0573226_01_100844_101983					
Ga0573226_01_102028_102684	GO:0003674;GO:0003824;GO:0004518;GO:0004519;GO:0004521;GO:0004523;GO:0004540;GO:0005575;GO:0005622;GO:0005623;GO:0006139;GO:0006259;GO:0006260;GO:0006261;GO:0006271;GO:0006273;GO:0006281;GO:0006298;GO:0006401;GO:0006725;GO:0006807;GO:0006950;GO:0006974;GO:0008150;GO:0008152;GO:0009056;GO:0009057;GO:0009058;GO:0009059;GO:0009987;GO:0016070;GO:0016787;GO:0016788;GO:0016891;GO:0016893;GO:0019439;GO:0022616;GO:0032299;GO:0032991;GO:0033554;GO:0033567;GO:0034641;GO:0034645;GO:0034655;GO:0043137;GO:0043170;GO:0044237;GO:0044238;GO:0044248;GO:0044249;GO:0044260;GO:0044265;GO:0044270;GO:0044424;GO:0044464;GO:0046483;GO:0046700;GO:0050896;GO:0051716;GO:0071704;GO:0090304;GO:0090305;GO:0090501;GO:0090502;GO:0140098;GO:1901360;GO:1901361;GO:1901575;GO:1901576				
Ga0573226_01_102745_103266					
Ga0573226_01_103340_103819					
Ga0573226_01_103830_104381					
Ga0573226_01_104465_104689					
Ga0573226_01_104763_105512					
Ga0573226_01_105567_105953					
Ga0573226_01_106176_109634					
