gene_ID	Description/PFAM
Ga0573226_01_1_1464	Bac_DnaA
Ga0573226_01_1868_2299	
Ga0573226_01_2469_4274	FGEsulfatase
Ga0573226_01_4288_5166	Methyltransf_11
Ga0573226_01_5311_6069	SRAP
Ga0573226_01_6186_6698	
Ga0573226_01_6758_7189	NUDIX
Ga0573226_01_7285_7737	DUF2385
Ga0573226_01_7929_8201	
Ga0573226_01_8287_8925	LysE
Ga0573226_01_9135_9788	
Ga0573226_01_17371_18450	HAD
Ga0573226_01_18501_20456	Cytochrome_C554
Ga0573226_01_20479_21189	GerE
Ga0573226_01_21264_22871	FAD_binding_3
Ga0573226_01_23094_23444	Ribonuc_LPSP
Ga0573226_01_23477_24577	DAO
Ga0573226_01_24574_25596	Hist_deacetyl
Ga0573226_01_25593_26075	Acetyltransf_1
Ga0573226_01_26078_27007	BKACE
Ga0573226_01_27017_28372	Aminotran_3
Ga0573226_01_28369_29454	ABC_tran
Ga0573226_01_29661_30800	SBP_bac_8
Ga0573226_01_30853_31638	BPD_transp_1
Ga0573226_01_31638_32504	BPD_transp_1
Ga0573226_01_32612_33580	HTH_1
Ga0573226_01_33713_34780	OmpA
Ga0573226_01_34788_36290	Peptidase_C14
Ga0573226_01_36310_36993	Methyltransf_23
Ga0573226_01_37026_38288	DUF3419
Ga0573226_01_38469_39698	PG_binding_1
Ga0573226_01_39890_41221	Amidohydro_1
Ga0573226_01_41406_42296	GCV_T
Ga0573226_01_42322_42984	HD
Ga0573226_01_43038_43544	DSPc
Ga0573226_01_43562_44545	
Ga0573226_01_44757_46004	Hydrolase_2
Ga0573226_01_46027_46530	GO:0005623
Ga0573226_01_46633_48150	AMPbinding
Ga0573226_01_48154_49410	MCD
Ga0573226_01_49410_50726	DctM
Ga0573226_01_50726_51274	DctQ
Ga0573226_01_51342_52331	DctP
Ga0573226_01_52465_53121	FCD
Ga0573226_01_53899_54417	TetR_N
Ga0573226_01_54439_55251	Methyltransf_11
Ga0573226_01_55248_56027	ABC_tran
Ga0573226_01_56024_57082	GO:0005623
Ga0573226_01_57156_58307	Peripla_BP_2
Ga0573226_01_58431_59459	DJ1_PfpI
Ga0573226_01_59737_60330	HupE_UreJ
Ga0573226_01_61104_61967	QRPTase_C
Ga0573226_01_61979_63580	FAD_binding_2
Ga0573226_01_63680_64762	NadA
Ga0573226_01_65139_66374	MFS_1
Ga0573226_01_66458_68545	DALR_1
Ga0573226_01_68767_70347	EAL
